Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Ident
"R202","RESC1608X60N","45.45","17.4","45.45","17.4","45.45","16.6","Top","90","WI000R-S22"
"R203","RESC1608X60N","68.815","17.123","68.815","17.123","69.615","17.123","Top","180","WI1002-S17"
"R204","RESC1608X60N","68.815","18.848","68.815","18.848","69.615","18.848","Top","180","WI1002-S17"
"R205","RESC1608X60N","23.8","19.6","23.8","19.6","23.8","20.4","Top","270","WI1002-S17"
"R206","RESC1608X60N","23.8","27.3","23.8","27.3","23.8","28.1","Top","270","WI1002-S17"
"R207","RESC1608X60N","23.4","34.5","23.4","34.5","23.4","35.3","Top","270","WI1002-S17"
"R208","RESC1608X60N","71.3","8.7","71.3","8.7","71.3","7.9","Top","90","WI000R-S22"
"R209","RESC1608X60N","92.07","42.34","92.07","42.34","92.87","42.34","Top","180","WI1002-S17"
"R210","RESC1608X60N","100.825","38.564","100.825","38.564","100.825","39.364","Top","270","WI1002-S17"
"R211","RESC1608X60N","50.53","17.4","50.53","17.4","50.53","18.2","Top","270","WI1002-S17"
"R212","RESC1608X60N","42.91","17.4","42.91","17.4","42.91","18.2","Top","270","WI1002-S17"
"R213","RESC1608X60N","32.8","8.7","32.8","8.7","32.8","7.9","Top","90","WI1002-S17"
"R214","RESC1608X60N","103.2","38.564","103.2","38.564","103.2","37.764","Top","90","WI000R-S22"
"R215","RESC1608X60N","105","38.564","105","38.564","105","37.764","Top","90","WI000R-S22"
"R216","RESC1608X60N","94","39.957","94","39.957","94","40.757","Top","270","WI000R-S22"
"R217","RESC1608X60N","95.675","39.957","95.675","39.957","95.675","40.757","Top","270","WI000R-S22"
"R218","RESC1608X60N","65.878","34.246","65.878","34.246","65.078","34.246","Top","0","WI1002-S17"
"R300","RESC1608X60N","75.6","25.338","75.6","25.338","76.4","25.338","Top","180","WI000R-S22"
"R301","RESC1608X60N","75.6","27.028","75.6","27.028","76.4","27.028","Top","180","WI000R-S22"
